sys.exec.out.time {s},dyn.V1.DM->lonx {1},dyn.V1.DM->latx {1},dyn.V1.DM->alt {1},dyn.V1.DM->_dvbi {1},dyn.V1.DM->_SBII[0] {1},dyn.V1.DM->_SBII[1] {1},dyn.V1.DM->_SBII[2] {1},dyn.V1.DM->_VBII[0] {1},dyn.V1.DM->_VBII[1] {1},dyn.V1.DM->_VBII[2] {1},dyn.V1.DM->thtbdx {1}
                31.7,  -120.5312485872006,   34.68381392247455,   10100.59641480446,   631.9450884693869,   83783.04457330251,   5258026.856002853,   3614939.759913067,  -34.68995768142101,   493.8942811468955,   392.7080858946422,   58.64602490639079
                31.8,  -120.5316210719752,   34.68385194816278,   10163.61253957078,   633.9534147536915,   83779.68135653535,   5258076.324342453,   3614979.102057033,  -32.57320599687884,   495.4728629142769,   394.1352057917194,   58.57902901313811
                31.9,  -120.5319958398393,   34.68389020766269,   10226.84260753449,   635.9724470311633,   83776.53016774978,   5258125.950646698,   3615018.587037446,  -30.44939447779797,   497.0535801438664,   395.5648192457289,   58.51219523130087
                  32,  -120.5323728974775,   34.68392870167285,   10290.28694736864,   638.0022311799038,   83773.59171401647,   5258175.735130968,      3615058.215105,  -28.31850124887967,   498.6364694558718,   396.9969531446507,     58.445518591369
                32.1,  -120.5327522534339,   34.68396743089283,   10353.94589233305,   640.0428129266023,   83770.86670463292,   5258225.678014283,   3615097.986513096,  -26.18050364839611,   500.2215670844289,   398.4316345765133,   58.37899409963934
                32.2,  -120.5331339144412,   34.68400639602346,   10417.81978023984,   642.0942378454705,    83768.3558512024,   5258275.779519276,   3615137.901517846,  -24.03537822339466,   501.8089089072654,   399.8688907746061,   58.31261674590163
                32.3,   -120.533517889088,   34.68404559776717,   10481.90895344783,   644.1565513589654,   83766.05986771312,   5258326.039872145,   3615177.960378094,  -21.88310072579943,   503.3985304682572,   401.3087490744491,   58.24638149921265
                32.4,  -120.5339041841598,   34.68408503682811,   10546.21375882719,   646.2297987391441,   83763.97947061792,   5258376.459302623,   3615218.163355418,  -19.72364611062075,   504.9904669938969,    402.751236879322,   58.18028331326506
                32.5,  -120.5342928082993,    34.6841247139124,   10610.73454775289,   648.3140251096228,   83762.11537891407,    5258427.03804396,   3615258.510714143,  -17.55698853552008,   506.5847534051448,   404.1963816325584,   58.11431712542016
                32.6,  -120.5346837683408,   34.68416462972829,   10675.47167607583,   650.4092754482637,   83760.46831422292,   5258477.776332877,   3615299.002721335,  -15.38310136104973,   508.1814243259151,   405.6442107952919,   58.04847785786279
                32.7,  -120.5350770729857,   34.68420478498631,   10740.42550409772,   652.5155945756217,   83759.03900086992,   5258528.674409543,   3615339.639646806,  -13.20195712607382,   509.7805142043674,   407.0947516610219,   57.98276041742474
                32.8,  -120.5354727291255,   34.68424518039822,   10805.59639655799,   654.6330270081289,   83757.82816597969,   5258579.732517624,   3615380.421763011,  -11.01352727874459,   511.3820585184803,   408.5480296025274,   57.91715967953931
                32.9,  -120.5358707455177,   34.68428581667635,   10870.98472259101,    656.761617241222,   83756.83653956882,   5258630.950904299,    3615421.34934496,  -8.817782680185823,   512.9860915542599,   410.0040712746579,   57.85167046807574
